<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.28	16.076	16.114	15.905	15.996	22343	0	0
2018.06.29	15.995	16.144	15.945	16.061	23444	0	0
2018.07.01	16.087	16.107	16.080	16.095	478	0	0
2018.07.02	16.095	16.101	15.752	15.840	20862	0	0
2018.07.03	15.839	16.025	15.767	16.015	19501	0	0
2018.07.04	16.014	16.131	15.976	16.067	15526	0	0
2018.07.05	16.066	16.081	15.911	16.034	17842	0	0
2018.07.06	16.033	16.061	15.931	15.989	15682	0	0
2018.07.08	16.019	16.045	15.938	16.042	167	0	0
2018.07.09	16.042	16.196	16.025	16.098	14958	0	0
2018.07.10	16.096	16.141	15.884	15.998	18880	0	0
2018.07.11	15.996	16.003	15.761	15.790	21325	0	0
2018.07.12	15.789	15.973	15.741	15.922	16474	0	0
2018.07.13	15.920	15.967	15.655	15.773	18396	0	0
2018.07.15	15.806	15.810	15.793	15.796	181	0	0
2018.07.16	15.793	15.859	15.726	15.778	14105	0	0
2018.07.17	15.778	15.844	15.531	15.551	17365	0	0
2018.07.18	15.554	15.593	15.377	15.542	20461	0	0
2018.07.19	15.542	15.553	15.158	15.305	25293	0	0
2018.07.20	15.306	15.523	15.223	15.472	23173	0	0
2018.07.22	15.499	15.517	15.415	15.510	481	0	0
2018.07.23	15.510	15.538	15.335	15.365	20760	0	0
2018.07.24	15.365	15.578	15.309	15.468	21716	0	0
2018.07.25	15.469	15.612	15.427	15.604	20021	0	0
2018.07.26	15.602	15.647	15.355	15.393	18513	0	0
2018.07.27	15.392	15.518	15.308	15.445	18491	0	0
2018.07.29	15.478	15.482	15.462	15.469	223	0	0
2018.07.30	15.472	15.525	15.380	15.486	13494	0	0
2018.07.31	15.485	15.591	15.345	15.498	19086	0	0
2018.08.01	15.499	15.511	15.358	15.384	17462	0	0
2018.08.02	15.383	15.456	15.271	15.298	20856	0	0
2018.08.03	15.298	15.533	15.227	15.364	22129	0	0
2018.08.05	15.399	15.423	15.393	15.417	328	0	0
2018.08.06	15.416	15.471	15.259	15.299	18372	0	0
2018.08.07	15.300	15.469	15.285	15.376	19384	0	0
2018.08.08	15.378	15.445	15.266	15.400	19680	0	0
2018.08.09	15.400	15.491	15.348	15.412	20170	0	0
2018.08.10	15.413	15.425	15.259	15.259	26480	0	0
2018.08.12	15.305	15.322	15.289	15.302	481	0	0
2018.08.13	15.302	15.304	14.958	14.977	29177	0	0
2018.08.14	14.976	15.092	14.965	15.025	22518	0	0
2018.08.15	15.025	15.032	14.349	14.417	32198	0	0
2018.08.16	14.416	14.814	14.316	14.649	32911	0	0
2018.08.17	14.650	14.797	14.574	14.763	25967	0	0
2018.08.19	14.760	14.771	14.747	14.764	429	0	0
2018.08.20	14.764	14.830	14.628	14.753	22557	0	0
2018.08.21	14.751	14.828	14.701	14.761	20188	0	0
2018.08.22	14.763	14.859	14.672	14.712	22034	0	0
2018.08.23	14.709	14.717	14.464	14.487	24371	0	0
2018.08.24	14.486	14.857	14.467	14.771	22745	0	0
2018.08.26	14.821	14.849	14.800	14.844	555	0	0
2018.08.27	14.843	14.899	14.731	14.878	18491	0	0
2018.08.28	14.877	14.979	14.655	14.735	23186	0	0
2018.08.29	14.733	14.772	14.645	14.746	20822	0	0
2018.08.30	14.745	14.745	14.489	14.537	23416	0	0
2018.08.31	14.538	14.695	14.471	14.486	22612	0	0
2018.09.02	14.500	14.511	14.495	14.504	332	0	0
2018.09.03	14.504	14.532	14.378	14.470	14844	0	0
2018.09.04	14.470	14.495	13.990	14.148	26266	0	0
2018.09.05	14.149	14.215	14.072	14.179	21892	0	0
2018.09.06	14.179	14.286	14.096	14.159	23095	0	0
2018.09.07	14.158	14.235	14.058	14.131	26276	0	0
2018.09.09	14.118	14.151	14.118	14.142	478	0	0
2018.09.10	14.143	14.232	14.058	14.134	21407	0	0
2018.09.11	14.134	14.211	13.922	14.108	23645	0	0
2018.09.12	14.107	14.262	14.054	14.228	24278	0	0
2018.09.13	14.227	14.333	14.142	14.168	23660	0	0
2018.09.14	14.168	14.264	13.991	13.994	22953	0	0
2018.09.16	14.047	14.052	14.020	14.037	558	0	0
2018.09.17	14.037	14.230	14.028	14.080	22905	0	0
2018.09.18	14.083	14.214	14.054	14.152	25530	0	0
2018.09.19	14.152	14.319	14.127	14.227	23106	0	0
2018.09.20	14.227	14.332	14.158	14.311	25595	0	0
2018.09.21	14.310	14.414	14.129	14.250	26510	0	0
2018.09.23	14.247	14.262	14.237	14.251	385	0	0
2018.09.24	14.252	14.374	14.173	14.249	21453	0	0
2018.09.25	14.249	14.538	14.201	14.451	23692	0	0
2018.09.26	14.450	14.493	14.294	14.361	24056	0	0
2018.09.27	14.362	14.442	14.162	14.244	28470	0	0
2018.09.28	14.241	14.697	14.215	14.611	25653	0	0
2018.09.30	14.650	14.660	14.631	14.636	425	0	0
2018.10.01	14.635	14.637	14.352	14.477	23672	0	0
2018.10.02	14.477	14.892	14.424	14.722	27918	0	0
2018.10.03	14.722	14.805	14.593	14.607	27005	0	0
2018.10.04	14.610	14.749	14.515	14.568	27562	0	0
2018.10.05	14.567	14.698	14.497	14.591	23861	0	0
2018.10.07	14.631	14.636	14.621	14.629	448	0	0
2018.10.08	14.628	14.643	14.248	14.378	25129	0	0
2018.10.09	14.379	14.420	14.248	14.380	23621	0	0
2018.10.10	14.381	14.411	14.224	14.307	24419	0	0
2018.10.11	14.307	14.604	14.239	14.559	32911	0	0
2018.10.12	14.559	14.690	14.502	14.585	16477	0	0
2018.10.14	14.607	14.632	14.607	14.615	252	0	0
2018.10.15	14.614	14.761	14.589	14.685	13720	0	0
2018.10.16	14.685	14.831	14.605	14.641	13588	0	0
2018.10.17	14.640	14.710	14.569	14.598	14549	0	0
2018.10.18	14.598	14.642	14.442	14.565	15248	0	0
2018.10.19	14.566	14.703	14.550	14.619	14778	0	0
2018.10.21	14.644	14.645	14.621	14.633	588	0	0
2018.10.22	14.632	14.677	14.507	14.550	14144	0	0
2018.10.23	14.548	14.794	14.505	14.743	15831	0	0
2018.10.24	14.742	14.789	14.637	14.678	15032	0	0
2018.10.25	14.679	14.764	14.588	14.622	15570	0	0
2018.10.26	14.620	14.760	14.567	14.688	16585	0	0
2018.10.28	14.677	14.693	14.612	14.676	541	0	0
2018.10.29	14.677	14.748	14.404	14.476	20001	0	0
2018.10.30	14.475	14.517	14.364	14.451	14149	0	0
2018.10.31	14.452	14.456	14.230	14.268	14902	0	0
2018.11.01	14.267	14.807	14.265	14.732	17557	0	0
2018.11.02	14.732	14.896	14.635	14.727	19590	0	0
2018.11.04	14.729	14.747	14.729	14.739	282	0	0
2018.11.05	14.741	14.754	14.591	14.629	14507	0	0
2018.11.06	14.629	14.700	14.475	14.532	15310	0	0
2018.11.07	14.530	14.709	14.469	14.553	18242	0	0
2018.11.08	14.553	14.578	14.374	14.420	15868	0	0
2018.11.09	14.421	14.423	14.096	14.145	17115	0	0
2018.11.11	14.153	14.174	14.152	14.174	311	0	0
2018.11.12	14.174	14.197	13.972	14.013	14118	0	0
2018.11.13	14.012	14.113	13.945	14.010	17449	0	0
2018.11.14	14.011	14.180	13.883	14.127	18958	0	0
2018.11.15	14.127	14.336	14.087	14.276	19326	0	0
2018.11.16	14.277	14.409	14.230	14.397	17025	0	0
2018.11.18	14.400	14.404	14.388	14.400	279	0	0
2018.11.19	14.399	14.428	14.339	14.411	14336	0	0
2018.11.20	14.412	14.475	14.221	14.309	18037	0	0
2018.11.21	14.308	14.541	14.268	14.473	15829	0	0
2018.11.22	14.475	14.528	14.436	14.480	9097	0	0
2018.11.23	14.480	14.492	14.179	14.265	13796	0	0
2018.11.25	14.298	14.299	14.275	14.291	281	0	0
2018.11.26	14.292	14.425	14.207	14.234	14196	0	0
2018.11.27	14.235	14.294	14.085	14.142	16016	0	0
2018.11.28	14.142	14.383	14.109	14.311	15985	0	0
2018.11.29	14.311	14.378	14.258	14.299	17904	0	0
2018.11.30	14.298	14.326	14.042	14.164	15429	0	0
2018.12.02	14.233	14.243	14.202	14.221	480	0	0
2018.12.03	14.222	14.551	14.195	14.389	18723	0	0
2018.12.04	14.389	14.648	14.377	14.520	17879	0	0
2018.12.05	14.519	14.527	14.410	14.485	11926	0	0
2018.12.06	14.484	14.495	14.331	14.454	19118	0	0
2018.12.07	14.453	14.631	14.427	14.612	17920	0	0
2018.12.09	14.628	14.628	14.595	14.595	325	0	0
2018.12.10	14.595	14.618	14.467	14.520	17275	0	0
2018.12.11	14.519	14.702	14.499	14.557	17071	0	0
2018.12.12	14.556	14.783	14.529	14.726	16684	0	0
2018.12.13	14.726	14.792	14.671	14.729	15469	0	0
2018.12.14	14.728	14.734	14.482	14.555	15516	0	0
2018.12.16	14.548	14.560	14.543	14.549	181	0	0
2018.12.17	14.548	14.689	14.538	14.651	13145	0	0
2018.12.18	14.653	14.708	14.600	14.622	14129	0	0
2018.12.19	14.621	14.808	14.537	14.608	17521	0	0
2018.12.20	14.608	14.830	14.543	14.768	20412	0	0
2018.12.21	14.770	14.782	14.593	14.615	16145	0	0
2018.12.23	14.652	14.652	14.636	14.650	211	0	0
2018.12.24	14.650	14.790	14.647	14.763	12187	0	0
2018.12.26	14.811	15.154	14.800	15.026	16309	0	0
2018.12.27	15.026	15.255	14.926	15.217	19929	0	0
2018.12.28	15.218	15.379	15.209	15.368	17446	0	0
2018.12.30	15.372	15.372	15.344	15.359	215	0	0
2018.12.31	15.360	15.492	15.311	15.473	13553	0	0
2019.01.02	15.441	15.597	15.307	15.476	19829	0	0
2019.01.03	15.480	15.737	15.474	15.731	21287	0	0
2019.01.04	15.731	15.856	15.572	15.677	20505	0	0
2019.01.06	15.699	15.704	15.679	15.685	273	0	0
