<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.12.20	00:00:00	100.09	117.43	98.76	115.45	76369	0	0
2018.12.21	00:00:00	115.31	119.70	105.68	108.55	77732	0	0
2018.12.22	00:00:00	108.58	117.34	105.91	117.09	77171	0	0
2018.12.23	00:00:00	117.11	133.80	116.96	130.55	78113	0	0
2018.12.24	00:00:00	130.57	159.65	130.30	139.14	79355	0	0
2018.12.25	00:00:00	138.97	140.19	121.86	129.33	79339	0	0
2018.12.26	00:00:00	129.34	137.39	123.71	131.26	78323	0	0
2018.12.27	00:00:00	131.18	132.74	112.88	115.24	77166	0	0
2018.12.28	00:00:00	115.26	139.33	113.96	137.69	76038	0	0
2018.12.29	00:00:00	137.80	147.94	127.69	135.07	78022	0	0
2018.12.30	00:00:00	135.21	140.98	129.18	139.68	77455	0	0
2018.12.31	00:00:00	139.75	140.48	128.36	131.87	74205	0	0
2019.01.01	00:00:00	131.82	142.28	130.59	140.84	73572	0	0
2019.01.02	00:00:00	140.85	158.04	139.53	154.86	75589	0	0
2019.01.03	00:00:00	154.69	156.02	144.97	148.44	76099	0	0
2019.01.04	00:00:00	148.45	157.35	146.06	154.49	76859	0	0
2019.01.05	00:00:00	154.52	161.73	152.41	154.84	78647	0	0
2019.01.06	00:00:00	154.85	160.42	149.08	157.05	76464	0	0
2019.01.07	00:00:00	157.02	158.48	148.95	151.20	60128	0	0
2019.01.08	00:00:00	151.05	153.58	146.06	149.61	71770	0	0
2019.01.09	00:00:00	149.61	153.66	148.23	149.96	67431	0	0
2019.01.10	00:00:00	149.95	151.34	122.33	126.84	72531	0	0
2019.01.11	00:00:00	126.80	128.86	121.66	125.96	72968	0	0
2019.01.12	00:00:00	125.98	127.35	123.37	123.95	76899	0	0
2019.01.13	00:00:00	123.83	125.10	113.50	115.55	77933	0	0
2019.01.14	00:00:00	115.57	131.63	115.09	128.81	76413	0	0
2019.01.15	00:00:00	128.78	130.68	116.84	120.39	76791	0	0
2019.01.16	00:00:00	120.38	127.76	119.25	122.01	77187	0	0
2019.01.17	00:00:00	122.08	123.74	117.01	122.76	71351	0	0
2019.01.18	00:00:00	122.78	123.18	118.12	119.68	69386	0	0
2019.01.19	00:00:00	119.67	126.88	119.49	123.46	67456	0	0
2019.01.20	00:00:00	123.47	124.06	111.89	116.60	75179	0	0
2019.01.21	00:00:00	116.54	118.00	112.92	115.57	73063	0	0
2019.01.22	00:00:00	115.59	119.45	109.64	118.23	67819	0	0
2019.01.23	00:00:00	118.21	119.12	115.04	116.76	56650	0	0
2019.01.24	00:00:00	116.73	117.53	113.50	116.89	63927	0	0
2019.01.25	00:00:00	116.88	117.28	114.11	115.21	61918	0	0
2019.01.26	00:00:00	115.20	117.92	114.60	115.34	61876	0	0
2019.01.27	00:00:00	115.34	115.76	110.32	111.42	67386	0	0
2019.01.28	00:00:00	111.36	112.25	101.27	105.59	75994	0	0
2019.01.29	00:00:00	105.61	106.20	102.24	104.25	70446	0	0
2019.01.30	00:00:00	104.25	109.38	102.79	108.31	63594	0	0
2019.01.31	00:00:00	108.30	110.50	104.84	106.33	67545	0	0
2019.02.01	00:00:00	106.35	108.15	102.87	106.56	69644	0	0
2019.02.02	00:00:00	106.51	110.53	105.23	110.16	66469	0	0
2019.02.03	00:00:00	110.16	110.87	104.71	106.42	66291	0	0
2019.02.04	00:00:00	106.43	108.40	105.40	106.39	56578	0	0
2019.02.05	00:00:00	106.39	107.02	105.34	106.56	56482	0	0
2019.02.06	00:00:00	106.57	106.84	100.58	103.74	66559	0	0
2019.02.07	00:00:00	103.65	105.30	102.84	103.65	57782	0	0
2019.02.08	00:00:00	103.65	122.12	102.66	118.26	69617	0	0
2019.02.09	00:00:00	118.29	120.46	116.90	118.50	69426	0	0
2019.02.10	00:00:00	118.49	125.08	115.18	124.23	70020	0	0
2019.02.11	00:00:00	124.17	124.43	118.81	120.11	70120	0	0
2019.02.12	00:00:00	120.11	122.98	117.04	121.55	69104	0	0
2019.02.13	00:00:00	121.56	125.99	119.80	121.15	72184	0	0
2019.02.14	00:00:00	121.15	123.58	119.05	120.01	71195	0	0
2019.02.15	00:00:00	120.00	123.89	119.51	120.97	64196	0	0
2019.02.16	00:00:00	120.97	124.15	120.76	121.60	70757	0	0
2019.02.17	00:00:00	121.65	134.92	121.09	132.99	70804	0	0
2019.02.18	00:00:00	132.94	148.26	131.57	145.35	81071	0	0
2019.02.19	00:00:00	145.36	149.89	142.65	143.37	78887	0	0
2019.02.20	00:00:00	143.38	149.04	139.89	147.90	76915	0	0
2019.02.21	00:00:00	147.73	149.77	141.80	145.06	75131	0	0
2019.02.22	00:00:00	145.05	148.71	142.72	147.79	72270	0	0
2019.02.23	00:00:00	147.80	159.83	145.30	158.34	72905	0	0
2019.02.24	00:00:00	158.32	165.79	131.55	132.19	79477	0	0
2019.02.25	00:00:00	132.21	141.61	131.65	138.21	77840	0	0
2019.02.26	00:00:00	138.20	138.85	133.25	136.55	73625	0	0
2019.02.27	00:00:00	136.55	140.58	126.19	134.92	72153	0	0
2019.02.28	00:00:00	134.93	138.86	132.28	135.38	73717	0	0
2019.03.01	00:00:00	135.38	138.34	134.46	135.59	71389	0	0
2019.03.02	00:00:00	135.60	136.47	129.18	132.66	76099	0	0
2019.03.03	00:00:00	132.66	134.84	127.69	130.27	68672	0	0
2019.03.04	00:00:00	130.26	131.19	122.97	125.71	73253	0	0
2019.03.05	00:00:00	125.72	138.19	124.99	136.94	72726	0	0
2019.03.06	00:00:00	136.95	140.19	130.97	137.61	74147	0	0
2019.03.07	00:00:00	137.61	140.20	134.95	137.07	72709	0	0
2019.03.08	00:00:00	137.08	139.48	129.29	133.24	70324	0	0
2019.03.09	00:00:00	133.23	138.39	131.71	137.02	74511	0	0
2019.03.10	00:00:00	137.02	137.41	133.11	135.44	65748	0	0
2019.03.11	00:00:00	135.44	136.14	129.31	132.46	69761	0	0
2019.03.12	00:00:00	132.45	134.63	127.58	133.39	70419	0	0
2019.03.13	00:00:00	133.40	133.58	130.50	131.96	64840	0	0
2019.03.14	00:00:00	131.95	134.87	128.68	131.83	67687	0	0
2019.03.15	00:00:00	131.83	137.79	131.38	136.75	58758	0	0
2019.03.17	00:00:00	139.68	139.92	138.79	139.01	7075	0	0
2019.03.18	00:00:00	139.02	141.85	135.84	137.56	69953	0	0
2019.03.19	00:00:00	137.56	139.39	136.64	138.53	64838	0	0
2019.03.20	00:00:00	138.52	140.06	135.78	139.01	65537	0	0
2019.03.21	00:00:00	139.04	139.90	132.13	134.49	63505	0	0
2019.03.22	00:00:00	134.50	137.11	133.93	136.06	47956	0	0
2019.03.24	00:00:00	135.09	135.85	134.55	135.55	7426	0	0
2019.03.25	00:00:00	135.54	136.09	130.67	132.94	57109	0	0
2019.03.26	00:00:00	132.94	133.78	131.29	133.20	58167	0	0
2019.03.27	00:00:00	133.21	139.84	132.95	139.24	62681	0	0
2019.03.28	00:00:00	139.26	139.30	136.51	137.60	60667	0	0
2019.03.29	00:00:00	137.60	142.06	136.99	140.81	55319	0	0
2019.03.31	00:00:00	141.46	141.81	140.65	141.30	5830	0	0
2019.04.01	00:00:00	141.31	143.10	138.75	140.97	57498	0	0
2019.04.02	00:00:00	140.98	166.84	140.63	164.21	76355	0	0
2019.04.03	00:00:00	164.23	179.22	150.11	160.26	82446	0	0
2019.04.04	00:00:00	160.19	164.13	151.84	157.05	81435	0	0
2019.04.05	00:00:00	157.05	167.81	153.59	163.47	71126	0	0
2019.04.07	00:00:00	173.13	176.02	170.03	174.27	10387	0	0
2019.04.08	00:00:00	174.15	186.26	172.71	180.12	81277	0	0
2019.04.09	00:00:00	180.13	180.48	173.75	175.55	77794	0	0
2019.04.10	00:00:00	175.52	185.00	165.76	176.68	76214	0	0
2019.04.11	00:00:00	176.70	176.96	160.01	164.65	78481	0	0
2019.04.12	00:00:00	164.61	167.27	158.90	163.41	68075	0	0
2019.04.14	00:00:00	164.22	168.86	163.96	167.89	9607	0	0
2019.04.15	00:00:00	167.92	169.22	155.50	159.37	72983	0	0
2019.04.16	00:00:00	159.40	167.43	158.85	166.15	70519	0	0
2019.04.17	00:00:00	166.07	168.09	163.86	166.10	71659	0	0
2019.04.18	00:00:00	166.07	175.72	165.38	173.78	70439	0	0
2019.04.19	00:00:00	173.78	174.05	168.70	172.23	63476	0	0
2019.04.21	00:00:00	167.69	170.35	167.68	169.41	9230	0	0
2019.04.22	00:00:00	169.40	173.22	167.85	171.02	68329	0	0
2019.04.23	00:00:00	171.04	176.66	168.29	169.86	75489	0	0
2019.04.24	00:00:00	169.63	170.70	159.93	165.15	74584	0	0
2019.04.25	00:00:00	165.18	165.99	146.36	151.63	73802	0	0
2019.04.26	00:00:00	151.62	157.57	148.27	153.80	69808	0	0
2019.04.28	00:00:00	157.04	157.07	156.07	156.53	9357	0	0
2019.04.29	00:00:00	156.47	158.16	151.16	155.48	74869	0	0
2019.04.30	00:00:00	155.50	164.90	154.60	163.78	79498	0	0
2019.05.01	00:00:00	163.74	166.07	158.29	160.78	77905	0	0
2019.05.02	00:00:00	160.48	163.99	158.77	162.53	77981	0	0
2019.05.03	00:00:00	162.47	172.78	160.14	169.46	69957	0	0
2019.05.05	00:00:00	165.13	166.23	163.77	164.79	9677	0	0
2019.05.06	00:00:00	164.79	179.65	160.67	174.82	79668	0	0
2019.05.07	00:00:00	174.85	184.50	169.09	169.75	81857	0	0
2019.05.08	00:00:00	169.79	173.68	162.60	171.56	81276	0	0
2019.05.09	00:00:00	171.38	174.89	165.93	170.26	78415	0	0
2019.05.10	00:00:00	170.26	175.68	167.23	170.53	68724	0	0
2019.05.12	00:00:00	189.42	190.29	184.62	187.45	10382	0	0
2019.05.13	00:00:00	187.48	206.12	183.36	194.73	82421	0	0
2019.05.14	00:00:00	194.72	219.69	193.50	216.18	83141	0	0
2019.05.15	00:00:00	216.20	248.92	215.77	246.90	83095	0	0
2019.05.16	00:00:00	246.78	278.36	239.91	262.90	83768	0	0
2019.05.17	00:00:00	262.71	267.71	218.66	232.52	73385	0	0
2019.05.18	00:00:00	232.93	238.24	232.10	232.80	19134	0	0
2019.05.19	00:00:00	232.86	263.35	230.89	259.58	82851	0	0
2019.05.20	00:00:00	259.41	259.42	237.77	251.04	83096	0	0
2019.05.21	00:00:00	251.09	263.04	246.46	253.50	82915	0	0
2019.05.22	00:00:00	253.53	260.29	234.43	242.12	82691	0	0
2019.05.23	00:00:00	242.12	247.56	229.41	244.53	83101	0	0
2019.05.24	00:00:00	244.58	254.69	241.39	252.65	72375	0	0
2019.05.25	00:00:00	248.47	257.41	246.81	250.07	82058	0	0
2019.05.26	00:00:00	250.07	270.38	244.23	266.94	81871	0	0
2019.05.27	00:00:00	267.04	278.62	261.97	270.74	82663	0	0
2019.05.28	00:00:00	270.75	275.49	263.46	270.45	82064	0	0
2019.05.29	00:00:00	270.46	273.37	258.69	268.53	82098	0	0
2019.05.30	00:00:00	268.54	287.94	233.25	252.96	82875	0	0
2019.05.31	00:00:00	253.09	263.16	243.92	260.96	72600	0	0
2019.06.01	00:00:00	266.50	273.85	259.58	263.51	82921	0	0
2019.06.02	00:00:00	263.55	273.06	262.63	268.40	82265	0	0
2019.06.03	00:00:00	268.43	269.13	245.13	248.46	82557	0	0
2019.06.04	00:00:00	248.48	250.00	232.30	240.10	82582	0	0
2019.06.05	00:00:00	240.11	248.12	236.97	245.25	82106	0	0
2019.06.06	00:00:00	245.29	250.44	234.68	248.67	81717	0	0
2019.06.07	00:00:00	248.77	253.15	243.93	246.72	70780	0	0
2019.06.08	00:00:00	248.59	250.25	240.82	243.49	80023	0	0
2019.06.09	00:00:00	243.48	244.18	222.84	230.42	80809	0	0
2019.06.10	00:00:00	230.40	247.25	226.36	246.85	81965	0	0
2019.06.11	00:00:00	246.71	248.11	236.18	244.28	80839	0	0
2019.06.12	00:00:00	244.28	262.32	241.88	261.44	80249	0	0
2019.06.13	00:00:00	261.45	263.50	253.11	254.20	80034	0	0
2019.06.14	00:00:00	254.19	257.70	247.04	256.42	69168	0	0
2019.06.15	00:00:00	262.56	272.03	260.48	267.96	81063	0	0
2019.06.16	00:00:00	267.98	278.09	262.39	267.22	81869	0	0
2019.06.17	00:00:00	267.19	274.74	266.20	272.91	81170	0	0
2019.06.18	00:00:00	272.80	273.40	259.69	263.42	80698	0	0
2019.06.19	00:00:00	263.43	269.12	262.46	268.09	76473	0	0
2019.06.20	00:00:00	268.09	273.65	265.35	271.37	76233	0	0
2019.06.21	00:00:00	271.38	294.58	271.25	292.82	71575	0	0
2019.06.22	00:00:00	294.54	314.13	291.51	307.86	83163	0	0
2019.06.23	00:00:00	307.88	316.91	300.89	305.72	83130	0	0
2019.06.24	00:00:00	305.65	312.04	292.05	310.22	82025	0	0
2019.06.25	00:00:00	310.22	315.87	304.89	315.20	82064	0	0
2019.06.26	00:00:00	315.23	360.71	302.80	331.50	81671	0	0
2019.06.27	00:00:00	331.50	341.21	272.44	292.63	83831	0	0
2019.06.28	00:00:00	292.54	311.12	288.32	305.37	73141	0	0
2019.06.29	00:00:00	307.89	322.71	289.88	315.94	83355	0	0
2019.06.30	00:00:00	315.81	322.03	284.40	289.11	82908	0	0
2019.07.01	00:00:00	289.10	300.60	276.26	293.01	83486	0	0
2019.07.02	00:00:00	293.00	295.50	269.22	290.45	82278	0	0
2019.07.03	00:00:00	290.46	302.50	288.39	301.11	82821	0	0
2019.07.04	00:00:00	301.12	303.14	278.76	281.50	82390	0	0
2019.07.05	00:00:00	281.52	294.10	278.85	285.67	72164	0	0
2019.07.06	00:00:00	286.42	297.27	283.82	286.83	82657	0	0
2019.07.07	00:00:00	286.83	309.61	282.67	305.29	82450	0	0
2019.07.08	00:00:00	305.32	314.00	301.13	312.21	80595	0	0
2019.07.09	00:00:00	312.20	317.24	301.71	306.69	81992	0	0
2019.07.10	00:00:00	306.72	313.36	274.25	287.55	82574	0	0
2019.07.11	00:00:00	287.53	287.57	260.49	267.67	81558	0	0
2019.07.12	00:00:00	267.71	278.15	264.97	275.91	72243	0	0
2019.07.13	00:00:00	274.25	274.66	260.35	267.37	82322	0	0
2019.07.14	00:00:00	267.33	268.33	194.14	225.07	82542	0	0
2019.07.15	00:00:00	224.86	234.40	201.91	227.39	82748	0	0
2019.07.16	00:00:00	227.30	233.48	189.63	197.83	82567	0	0
2019.07.17	00:00:00	197.83	218.96	191.01	210.45	82860	0	0
2019.07.18	00:00:00	210.47	228.93	205.24	225.45	82167	0	0
2019.07.19	00:00:00	225.45	225.96	212.12	219.44	72125	0	0
2019.07.20	00:00:00	220.41	234.73	219.04	227.81	81161	0	0
2019.07.21	00:00:00	227.82	228.93	216.15	224.66	80650	0	0
2019.07.22	00:00:00	224.70	227.42	210.69	216.49	80218	0	0
2019.07.23	00:00:00	216.53	218.50	207.52	211.30	80471	0	0
2019.07.24	00:00:00	211.27	217.42	199.87	215.95	81544	0	0
2019.07.25	00:00:00	215.89	224.99	214.40	218.50	80644	0	0
2019.07.26	00:00:00	218.51	219.72	211.96	217.40	69057	0	0
2019.07.27	00:00:00	218.41	222.99	201.25	205.87	80834	0	0
2019.07.28	00:00:00	205.94	212.54	196.33	210.36	79283	0	0
2019.07.29	00:00:00	210.36	214.21	205.38	210.01	80608	0	0
2019.07.30	00:00:00	209.99	213.79	202.97	209.17	78158	0	0
2019.07.31	00:00:00	209.16	218.27	208.80	217.97	76714	0	0
2019.08.01	00:00:00	217.97	218.71	210.12	216.75	71449	0	0
2019.08.02	00:00:00	216.73	221.80	213.93	214.86	65406	0	0
2019.08.03	00:00:00	216.95	223.83	215.46	221.22	78532	0	0
2019.08.04	00:00:00	221.20	222.89	216.41	221.89	78536	0	0
2019.08.05	00:00:00	221.85	235.96	221.77	232.25	78817	0	0
2019.08.06	00:00:00	232.23	238.61	221.82	225.25	79508	0	0
2019.08.07	00:00:00	225.25	230.37	219.46	225.37	79806	0	0
2019.08.08	00:00:00	225.38	225.98	213.55	220.40	77293	0	0
2019.08.09	00:00:00	220.32	220.93	206.09	208.95	67693	0	0
2019.08.10	00:00:00	209.62	214.05	198.96	205.46	79119	0	0
2019.08.11	00:00:00	205.46	216.13	204.85	215.23	73795	0	0
